doc/bookname,doc/authors,doc/publisher,doc/publication_year/0,doc/isbn13,doc/set_isbn13,doc/bookImageURL,doc/addition_symbol,doc/vol,doc/class_no,doc/book_count,doc/loan_count,doc/reg_date
Royal crush,written & illustrated by Meg Cabot,Feiwel & Friends,2017,9781250111524,,https://image.aladin.co.kr/product/8802/6/cover/1250111528_2.jpg,5,,843,1,1,2019-11-30
1日 1行의 기적:무일푼 백수를 억대 연봉 CEO로 만든 실행의 힘,유근용 지음,비즈니스북스,2019,9791162540671,,https://image.aladin.co.kr/product/18627/80/cover/k292635166_1.jpg,0,,325.211,1,1,2019-11-29
365 Nature:매일 매일 자연과 함께하는 힐링 프로젝트,애너 칼리 지음;박아람 옮김,한국물가정보,2017,9791188096442,,https://image.aladin.co.kr/product/12032/18/cover/k722531048_1.jpg,1,,590,1,0,2019-11-29
거절 잘해도 좋은 사람입니다,양지아링 지음;하진이 옮김,갈매나무,2019,9791190123709,,https://image.aladin.co.kr/product/20607/65/cover/k842636863_1.jpg,0,,189.2,1,0,2019-11-29
"그렇게 초등 엄마가 된다:연년생 아들을 키우는, 초등 교사 엄마의 리얼 환장 에세이",이은경 지음,가나문화콘텐츠,2018,9788957369838,,http://image.aladin.co.kr/product/16958/51/cover/895736983x_1.jpg,0,,814.7,1,1,2019-11-29
나도 책 한 권 쓰고 싶은데:당신이 책을 쓰지 못한 진짜 이유,박하루 지음,더블유미디어(Wmedia),2019,9791188476169,,https://image.aladin.co.kr/product/19515/57/cover/k282635826_1.jpg,0,,802,1,0,2019-11-29
나를 잃기 싫어서 영어 공부를 시작했다,이정민;이윤경 [공]지음,위즈덤하우스 미디어그룹,2019,9791190182461,,https://image.aladin.co.kr/product/20405/40/cover/k192635251_1.jpg,0,,740.7,1,0,2019-11-29
너도 작가가 될 수 있어:30일 완성 글쓰기 습관 프로젝트,이동영 지음,경향BP(경향비피),2019,9788969523389,,https://image.aladin.co.kr/product/19523/94/cover/8969523383_1.jpg,0,,802,1,0,2019-11-29
노예의 길:사회주의 계획경제의 진실,프리드리히 A. 하이에크 지음;김이석 옮김,자유기업원,2018,9788984291638,,https://image.aladin.co.kr/product/14322/83/cover/8984291633_1.jpg,9,,320.182,1,0,2019-11-29
딱 5분만 더 놀면 안 돼요?:소중한 나의 시간 알차게 보내기,은희 글;김종민 그림,키위북스(어린이),2014,9791185173047,,http://image.aladin.co.kr/product/4090/94/cover/1185173048_1.jpg,1,,199.4,1,1,2019-11-29
(8단계로 끝내는)라이브 영문법:영어공부의 패러다임을 바꿔라,양세진 지음,램프앤라이트,2014,9791195356218,,https://bookthumb-phinf.pstatic.net/cover/081/904/08190446.jpg?type=m1&udate=20150715,1,,745,1,0,2019-11-29
레트로 마니아:과거에 중독된 대중문화,사이먼 레이놀즈 지음;최성민 옮김,작업실유령,2016,9788994207759,,http://image.aladin.co.kr/product/10381/39/cover/8994207759_1.jpg,0,,673.53,1,0,2019-11-29
"문학하는 마음:""나에 대해 계속 알아가는 느낌이 들어요"":김필균 인터뷰집",김필균 지음,제철소,2019,9791188343263,,https://image.aladin.co.kr/product/19405/23/cover/k172635319_1.jpg,0,,809,1,0,2019-11-29
미드 번역을 위한 공부법:미드 덕후에서 영상번역가로,박윤슬 지음,더라인북스,2019,9791188403158,,https://image.aladin.co.kr/product/20866/3/cover/k972636973_1.jpg,1,,701.7,1,0,2019-11-29
미술치료 요리책:요리처럼 배우는 미술치료 레시피 130,주리애 지음,아트북스,2014,9788961961608,,http://image.aladin.co.kr/product/3715/0/cover/8961961608_1.jpg,0,,512.5156,1,0,2019-11-29
밤의 양들:이정명 장편소설,이정명 지음,은행나무,2019,9791189982461,,https://image.aladin.co.kr/product/20480/95/cover/k272635453_1.jpg,0,1,813.7,1,0,2019-11-29
버려지는 디자인 통과되는 디자인:웹&앱 디자인,신승희 지음,길벗,2019,9791160508529,,https://image.aladin.co.kr/product/20232/39/cover/k042635752_1.jpg,0,,658.3,1,0,2019-11-29
블랙박스,마이클 코넬리 지음;한정아 옮김,RHK(알에이치코리아),2019,9788925566856,,https://image.aladin.co.kr/product/20227/91/cover/8925566850_1.jpg,0,,843,1,0,2019-11-29
사회학의 핵심 개념들,앤서니 기든스;필립 W. 서튼 [공]지음;김봉석 옮김,동녘,2018,9788972979227,,https://image.aladin.co.kr/product/16451/50/cover/8972979228_1.jpg,9,,331,1,0,2019-11-29
살인을 예고합니다,애거서 크리스티 지음;이은선 옮김,황금가지,2018,9791158884192,,https://image.aladin.co.kr/product/15461/82/cover/k702533522_1.jpg,0,,843,1,0,2019-11-29
석유는 어떻게 세계를 지배하는가,최지웅 지음,부키,2019,9788960517318,,https://image.aladin.co.kr/product/20264/39/cover/8960517313_2.jpg,0,,321.342,1,0,2019-11-29
쉬운 일은 아니지만:괜찮은 사람이 되고 싶어요,홍화정 지음,휴머니스트,2019,9791160802740,,https://image.aladin.co.kr/product/19538/81/cover/k892635128_1.jpg,0,,818,1,0,2019-11-29
시절일기:우리가 함께 지나온 밤,김연수 지음,레제,2019,9791196722005,,https://image.aladin.co.kr/product/19839/12/cover/k402635333_1.jpg,0,,814.7,1,0,2019-11-29
알지 못하는 아이의 죽음,은유 지음;임진실 사진,돌베개,2019,9788971999639,,https://image.aladin.co.kr/product/19449/80/cover/8971999632_1.jpg,0,,321.5411,1,0,2019-11-29
어른에게도 어른이 필요하다:'어른인 척'말고 진짜 느낌 좋은 어른으로 살아가기,박산호 지음,북라이프,2018,9791188850242,,https://image.aladin.co.kr/product/17110/10/cover/k642534289_1.jpg,0,,818,1,0,2019-11-29
